approach, domain, threads, workload, time sec,       cycles, instructions, L1-misses, LLC-misses, branch-misses,  task-clock, scale,  IPC, CPUs,  GHz 
  nosync,     16,       1, contains,     0.03, 104418938.00,  96312234.00, 176890.00,  113419.00,     917506.00, 28004464.00,     1, 0.92, 0.90, 3.73 
  nosync,     16,       2, contains,     0.01, 95996138.00,  94707237.00, 127900.00,   71708.00,     880374.00, 25911210.00,     1, 0.99, 1.96, 3.70 
  nosync,     16,       4, contains,     0.01, 62753628.00,  55203635.00,  85260.00,   64201.00,     513265.00, 16996438.00,     1, 0.88, 1.97, 3.69 
  nosync,     16,       6, contains,     0.01, 22820761.00,  17510308.00,  18038.00,   13904.00,     163446.00, 6125088.00,     1, 0.77, 1.00, 3.73 
  nosync,     16,       8, contains,     0.00, 17395714.00,  16390962.00,  15146.00,    4766.00,     155451.00, 4667614.00,     1, 0.94, 1.00, 3.73 
  nosync,     16,      10, contains,     0.00, 15549387.00,  12537851.00,  13455.00,    8183.00,     116641.00, 4171310.00,     1, 0.81, 1.00, 3.73 
  nosync,     16,       1,      mix,     0.03, 101916858.00, 145295900.00, 217917.00,   51664.00,    1421306.00, 27228636.00,     1, 1.43, 1.00, 3.74 
  coarse,     16,       1, contains,     0.06, 206897277.00, 351661338.00,  98720.00,   26886.00,     883744.00, 55324101.00,     1, 1.70, 1.00, 3.74 
  coarse,     16,       2, contains,     0.10, 369554936.00, 237910817.00, 832928.00,  412804.00,    1279826.00, 101561329.00,     1, 0.64, 1.00, 3.64 
  coarse,     16,       4, contains,     0.21, 704200770.00, 283699386.00, 4418184.00,  540504.00,    5363122.00, 204269794.00,     1, 0.40, 0.99, 3.45 
  coarse,     16,       6, contains,     0.20, 710859176.00, 347605313.00, 1131417.00,  487119.00,    7718616.00, 191560183.00,     1, 0.49, 0.98, 3.71 
  coarse,     16,       8, contains,     0.26, 762929411.00, 352504718.00, 1683540.00,  256409.00,    9333026.00, 224335246.00,     1, 0.46, 0.88, 3.40 
  coarse,     16,      10, contains,     0.36, 1109080076.00, 548205606.00, 1925080.00,  372957.00,   15493023.00, 328204291.00,     1, 0.49, 0.91, 3.38 
  coarse,     16,       1,      mix,     0.08, 270135807.00, 398873168.00, 958069.00,  176686.00,    1471854.00, 77394355.00,     1, 1.48, 1.00, 3.49 
  coarse,     16,       2,      mix,     0.12, 442618580.00, 303297078.00, 1049603.00,  532846.00,    4005965.00, 119982659.00,     1, 0.69, 1.00, 3.69 
  coarse,     16,       4,      mix,     0.27, 956867864.00, 473161845.00, 7154422.00,  914446.00,   11154944.00, 271571886.00,     1, 0.49, 1.00, 3.52 
  coarse,     16,       6,      mix,     0.35, 1215196891.00, 618429551.00, 7712798.00,  950388.00,   16162329.00, 343387223.00,     1, 0.51, 0.99, 3.54 
